Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Piero Hincapié,DF,Arsenal,19.9,33,26,26,0c7a48f8,1.6582914572864322,1.306532663316583,1.306532663316583
Jack Hinshelwood,MF,Brighton,19.3,7,6,13,e98211e7,0.3626943005181347,0.31088082901554404,0.6735751295336787
Callum Hudson-Odoi,MF,Nottingham,20.5,91,8,7,15f3ec41,4.439024390243903,0.3902439024390244,0.34146341463414637
Will Hughes,MF,Crystal Palace,17.5,45,15,16,a0666d3e,2.5714285714285716,0.8571428571428571,0.9142857142857143
Trai Hume,DFMF,Sunderland,33.7,88,25,46,4fa3a3a4,2.611275964391691,0.7418397626112759,1.3649851632047476
Bashir Humphreys,DFMF,Burnley,17.5,17,11,17,d2b32e91,0.9714285714285714,0.6285714285714286,0.9714285714285714
Omari Hutchinson,MF,Nottingham,18.8,133,11,11,bd9553e6,7.074468085106383,0.5851063829787234,0.5851063829787234
Tim Iroegbunam,MF,Everton,16.5,3,22,44,84c5ceea,0.18181818181818182,1.3333333333333333,2.6666666666666665
Alexander Isak,FW,Liverpool,7.8,2,0,6,8e92be30,0.25641025641025644,0.0,0.7692307692307693
Wilson Isidor,FW,Sunderland,12.9,0,2,8,a671316d,0.0,0.15503875968992248,0.6201550387596899
Alex Iwobi,MF,Fulham,26.9,88,15,18,6ca5ec4b,3.271375464684015,0.5576208178438662,0.6691449814126395
Daniel James,FWMF,Leeds United,6.2,50,1,5,c931d9f9,8.064516129032258,0.16129032258064516,0.8064516129032258
Reece James,DFMF,Chelsea,21.8,126,32,33,1265a93a,5.779816513761467,1.4678899082568806,1.5137614678899083
Vitaly Janelt,MF,Brentford,16.0,61,27,17,8449d35e,3.8125,1.6875,1.0625
Mathias Jensen,MF,Brentford,25.0,124,21,23,0f134faf,4.96,0.84,0.92
Igor Jesus,FW,Nottingham,25.5,10,2,16,dbe24cce,0.39215686274509803,0.0784313725490196,0.6274509803921569
Álex Jiménez,DFMF,Bournemouth,25.7,51,27,45,faa13947,1.9844357976653697,1.0505836575875487,1.7509727626459144
Raúl Jiménez,FW,Fulham,24.3,7,7,20,b561db50,0.28806584362139914,0.28806584362139914,0.823045267489712
João Pedro,FWMF,Chelsea,29.6,18,6,17,e8832875,0.6081081081081081,0.2027027027027027,0.5743243243243243
Joelinton,MF,Newcastle,21.7,11,28,23,c17bfb65,0.5069124423963134,1.2903225806451613,1.0599078341013826
Brennan Johnson,MFFW,Tottenham,6.8,23,2,9,0cd31129,3.3823529411764706,0.29411764705882354,1.3235294117647058
Brennan Johnson,MFFW,Crystal Palace,12.4,45,2,7,0cd31129,3.629032258064516,0.16129032258064516,0.564516129032258
Sam Johnstone,GK,Wolves,12.0,0,0,1,9e5708be,0.0,0.0,0.08333333333333333
Curtis Jones,MFDF,Liverpool,21.5,16,18,23,4fb9c88f,0.7441860465116279,0.8372093023255814,1.069767441860465
Eli Junior Kroupi,MFFW,Bournemouth,18.6,10,9,6,b2fe86e5,0.5376344086021505,0.48387096774193544,0.3225806451612903
James Justin,DFMF,Leeds United,21.1,38,26,38,fb614c44,1.8009478672985781,1.2322274881516586,1.8009478672985781
Ferdi Kadioglu,DFMF,Brighton,34.8,109,25,39,66c52a77,3.1321839080459775,0.7183908045977012,1.120689655172414
Daichi Kamada,MF,Crystal Palace,21.1,42,14,35,15b287da,1.990521327014218,0.6635071090047393,1.6587677725118481
